Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Linton Chataway,15/05/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,2,1,LAY,WIN,6,1. Colleagues,1,BEST BET,228883905,54404721,7,0,5.11,0.23,0.23,0.23
Linton Chataway,15/05/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,3,1,BACK,WIN,2,1. Impendor,2,BEST BET,228883912,69323016,7,0,3.23,-2,-2,-2
Linton Chataway,15/05/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,4,2,LAY,WIN,8,2. Smart Recognition,1,,228883919,56321622,7,0,15.13,0.07,0,0
Linton Chataway,15/05/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,7,3,BACK,WIN,2.6,3. Anemacore,1,,228883940,63859821,7,0,4.49,-1,-1,0
Mitch Lewis,15/05/2024,Randwick,EXPERT TIPS,FALSE,Thoroughbred,3,1,BACK,WIN,2.5,1. Franz Josef,2,BEST BET,228884037,69323121,10,0,1.84,-2,0,-2
Mitch Lewis,15/05/2024,Randwick,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,3.5,2. Bill The Boxer,1,,228884045,41675669,10,0,5.6,-1,-1,0
Mitch Lewis,15/05/2024,Randwick,EXPERT TIPS,FALSE,Thoroughbred,5,2,BACK,WIN,3,2. Ningaloo Star,2,,228884053,69323127,10,1,2.71,3.08,0,0
Mitch Lewis,15/05/2024,Randwick,EXPERT TIPS,FALSE,Thoroughbred,8,4,BACK,WIN,5,4. Rhythm Of Love,1,,228884077,55713539,10,1,4.08,2.77,0,0
Jaycin Campbell,15/05/2024,Rockhampton,EXPERT TIPS,FALSE,Greyhounds,2,1,BACK,WIN,5,1. Chapman Beach,1,,228930196,69352775,7,0,3.45,-1,0,0
Jaycin Campbell,15/05/2024,Rockhampton,EXPERT TIPS,FALSE,Greyhounds,5,2,BACK,WIN,1.8,2. Was A Genius,3,,228930221,65487689,7,1,1.88,2.46,2.46,0
Jaycin Campbell,15/05/2024,Rockhampton,EXPERT TIPS,FALSE,Greyhounds,6,1,BACK,WIN,8,1. Rosas Routine,1,,228930229,47612937,7,0,5.02,-1,0,0
Jaycin Campbell,15/05/2024,Rockhampton,EXPERT TIPS,FALSE,Greyhounds,7,4,LAY,WIN,3,4. Tsutey,2,BEST BET,228930263,65090219,7,0,3.63,0.71,0,0.71
Jackson Oldham,15/05/2024,Sandown,EXPERT TIPS,FALSE,Thoroughbred,3,3,LAY,WIN,5.65,3. Loco,4,BEST BET,228883395,2514766,7,0,6.8,0.64,0,0.64
Glenn Ingram,15/05/2024,Sandown,LATE MAIL,FALSE,Thoroughbred,8,5,BACK,WIN,3,5. Elouyou,2,BEST BET,228883440,69323088,7,0,3.05,-2,-2,-2
Jackson Oldham,15/05/2024,Sandown,EXPERT TIPS,FALSE,Thoroughbred,8,5,BACK,WIN,2.71,5. Elouyou,2,BEST BET,228883440,69323088,7,0,3.05,-2,-2,-2
Michael Tye,15/05/2024,The Meadows,EXPERT TIPS,FALSE,Greyhounds,1,6,BACK,WIN,1.9,6. Paw Zelini ,2,,228925491,69352664,7,1,1.84,1.56,0,0
Michael Tye,15/05/2024,The Meadows,EXPERT TIPS,FALSE,Greyhounds,3,1,BACK,WIN,1.9,1. Goliath ,1,,228925501,68416355,7,0,1.93,-1,-1,0
Michael Tye,15/05/2024,The Meadows,EXPERT TIPS,FALSE,Greyhounds,6,8,LAY,WIN,5.75,8. Minister Mentor ,2,BEST BET,228925516,53089987,7,0,8.8,0.24,0,0.24
Michael Tye,15/05/2024,The Meadows,EXPERT TIPS,FALSE,Greyhounds,6,7,LAY,WIN,6,7. Jebrynah Nitro,1,,228925516,69352677,7,1,4.74,-1,-1,0
Michael Tye,15/05/2024,The Meadows,EXPERT TIPS,FALSE,Greyhounds,9,8,LAY,WIN,3,8. Beach Bourbski ,1,,228925531,66614603,7,0,2.19,0.78,0.78,0
Jaycin Campbell,16/05/2024,Albion Park,EXPERT TIPS,FALSE,Greyhounds,4,4,BACK,WIN,3,4. Blue Hornet,1,,228961012,52810553,7,0,6.04,-1,-1,0
Jaycin Campbell,16/05/2024,Albion Park,EXPERT TIPS,FALSE,Greyhounds,5,3,LAY,WIN,5,3. Duffman,2,BEST BET,228961017,63572475,7,0,4.5,0.53,0.53,0.53
Jaycin Campbell,16/05/2024,Albion Park,EXPERT TIPS,FALSE,Greyhounds,5,7,BACK,WIN,4,7. Kia Kaha,1,,228961017,58251591,7,0,2.72,-1,0,0
Jaycin Campbell,16/05/2024,Albion Park,EXPERT TIPS,FALSE,Greyhounds,9,8,BACK,WIN,2,8. August Bob,4,BEST BET,228961037,58534325,7,0,2.39,-4,-4,-4
Joe Lannutti,16/05/2024,Dapto,EXPERT TIPS,FALSE,Greyhounds,6,6,LAY,WIN,4.5,6. Flyin Ethics,1,BEST BET,228960225,50268660,7,0,5.34,0.21,0,0.21
Joe Lannutti,16/05/2024,Dapto,EXPERT TIPS,FALSE,Greyhounds,7,5,BACK,WIN,1.5,5. Trunkey Chief,3,BEST BET,228960230,68450971,7,1,1.26,0.73,0,0.73
Joe Lannutti,16/05/2024,Dapto,EXPERT TIPS,FALSE,Greyhounds,8,7,LAY,WIN,4,7. Estelle Soldier,1,,228960235,59586558,7,0,3.35,0.4,0.4,0
Joe Lannutti,16/05/2024,Dapto,EXPERT TIPS,FALSE,Greyhounds,11,8,LAY,WIN,4,8. Return An Earn,1,,228960250,66790717,7,0,2.92,0.48,0.48,0
Joe Lannutti,16/05/2024,Dapto,EXPERT TIPS,FALSE,Greyhounds,12,7,LAY,WIN,4.5,7. Ninja Mac,1,,228960255,48872341,7,0,2.78,0.52,0.52,0
Linton Chataway,16/05/2024,Gosford,LAY OF THE DAY,FALSE,Thoroughbred,5,11,LAY,WIN,8,11. Summer Soiree,1,BEST BET,228924283,67819569,10,0,12.5,0.08,0,0.08
Brett Carroll,16/05/2024,Melton,EXPERT TIPS,FALSE,Harness,1,2,BACK,WIN,1.5,2. Haveyoumetted,3,BEST BET,228925644,49766925,7,0,2.16,-3,-3,-3
Brett Carroll,16/05/2024,Melton,EXPERT TIPS,FALSE,Harness,3,7,BACK,WIN,2.2,7. Hez Harrywho,2,,228925650,69323442,7,1,2.98,3.68,3.68,0
Brett Carroll,16/05/2024,Melton,EXPERT TIPS,FALSE,Harness,4,6,LAY,WIN,9,6. King Kulafu,2,BEST BET,228925653,28290669,7,0,11,0.19,0,0.19
Brett Carroll,16/05/2024,Melton,EXPERT TIPS,FALSE,Harness,7,5,BACK,WIN,1.6,5. Watts Up Partytime,3,BEST BET,228925662,54176108,7,1,1.8,2.23,2.23,2.23
Jackson Oldham,16/05/2024,Pakenham,EXPERT TIPS,FALSE,Thoroughbred,3,1,LAY,WIN,4.4,1. Boga Legend,4,BEST BET,228924698,69352534,7,1,3.05,-4,-4,-4
Glenn Ingram,16/05/2024,Pakenham,LATE MAIL,FALSE,Thoroughbred,5,2,BACK,WIN,2,2. The Jesters Son,2,BEST BET,228924714,69352546,7,1,1.7,1.3,0,1.3
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,1,5,BACK,WIN,16,5. Sally Intention,1,,228961437,59007044,7,0,26.41,-1,-1,0
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,3,8,BACK,WIN,19,8. Stella Girl ,1,,228961447,46055807,7,0,67,-1,-1,0
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,5,2,LAY,WIN,4.2,2. Fast Minardi ,2,,228961457,49514037,7,1,2.44,-2,-2,0
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,6,2,BACK,WIN,2,2. Canya Amy ,4,BEST BET,228961462,62178011,7,1,1.91,3.39,0,3.39
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,8,1,BACK,WIN,2,1. Afire ,2,,228961472,54472837,7,0,2.06,-2,-2,0
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,10,3,LAY,WIN,6,3. Bernie Burrow,1,,228961482,60652997,7,0,4.6,0.26,0.26,0
Michael Tye,16/05/2024,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,12,2,BACK,WIN,12,2. Riviera Bale ,2,,228961492,61372217,7,0,9.84,-2,0,0
Jackson Oldham,17/05/2024,Cranbourne,EXPERT TIPS,FALSE,Thoroughbred,1,2,BACK,WIN,1.47,2. Fontaine Rouge,4,BEST BET,228959409,69390301,7,0,1.5,-4,-4,-4
Glenn Ingram,17/05/2024,Cranbourne,LATE MAIL,FALSE,Thoroughbred,2,2,BACK,WIN,2.8,2. Kirin,2,BEST BET,228959417,69390307,7,1,2.17,2.18,0,2.18
Jackson Oldham,17/05/2024,Cranbourne,EXPERT TIPS,FALSE,Thoroughbred,2,2,BACK,WIN,1.84,2. Kirin,3,,228959417,69390307,7,1,2.17,3.26,3.26,0
Jackson Oldham,17/05/2024,Cranbourne,EXPERT TIPS,FALSE,Thoroughbred,4,10,LAY,WIN,2.85,10. Exuma,3,BEST BET,228959433,69390317,7,0,4.33,0.84,0,0.84
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,2,2,BACK,WIN,2.75,2. Xisan Bale ,2,,228987441,65694960,7,0,2.25,-2,0,0
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,3,1,BACK,PLACE,2,1. Rie Bale ,1,,228987447,66510075,7,0,5.04,-1,-1,0
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,4,8,BACK,WIN,6,8. Rapidfire Serena ,1,,228987451,50582189,7,0,12.14,-1,-1,0
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,6,8,LAY,WIN,7.5,8. Big Yeti ,1,,228987461,63666638,7,0,5.3,0.22,0.22,0
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,6,8,LAY,PLACE,7.5,8. Big Yeti ,1,,228987462,63666638,7,0,1.65,1.43,1.43,0
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,9,5,LAY,WIN,7.5,5. Berns Banjo ,1,BEST BET,228987476,68416365,7,0,4.48,0.27,0.27,0.27
Michael Tye,17/05/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,10,6,BACK,WIN,1.75,6. All Talent ,2,BEST BET,228987481,60529586,7,1,1.81,1.51,1.51,1.51
Darren Carroll,17/05/2024,Geelong,EXPERT TIPS,FALSE,Harness,1,8,BACK,WIN,2,8. Give Dave A Wave,2,BEST BET,228960842,69354348,7,1,3.54,4.72,4.72,4.72
Darren Carroll,17/05/2024,Geelong,EXPERT TIPS,FALSE,Harness,2,11,LAY,WIN,6,11. Ruby Wingate,2,BEST BET,228960844,42035940,7,0,3.97,0.63,0.63,0.63
Darren Carroll,17/05/2024,Geelong,EXPERT TIPS,FALSE,Harness,3,6,BACK,WIN,1.9,6. Dora Lee,2,,228960846,69354350,7,0,3.49,-2,-2,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,1,11,BACK,WIN,2,11. Captain Bligh,2,,228959378,1448699,7,0,3.23,-2,-2,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,2,5,BACK,WIN,3,5. Arma Xfactor,1,,228959381,50512037,7,1,4.02,2.81,2.81,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,3,4,BACK,WIN,5,4. Star Casino,1,,228959384,38618678,7,0,11.9,-1,-1,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,5,1,BACK,WIN,2,1. Miss Hepburn,2,,228959390,59391564,7,0,2.25,-2,-2,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,6,4,BACK,WIN,2,4. Highview Heidi,2,,228959393,69366027,7,1,2.61,2.99,2.99,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,7,11,BACK,WIN,6,11. Queeninthecorner,1,,228959396,48501851,7,0,6.53,-1,-1,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,7,11,BACK,PLACE,6,11. Queeninthecorner,1,,228959397,48501851,7,1,2.33,1.24,0,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,8,1,BACK,WIN,2.8,1. Dourado,2,,228959399,46863082,7,0,7.1,-2,-2,0
Scott Hill,17/05/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,9,1,BACK,WIN,1.3,1. Barbados,5,BEST BET,228959402,7641188,7,1,1.15,0.7,0,0.7
Lachlan Mosley,17/05/2024,Port Augusta,EXPERT TIPS,FALSE,Thoroughbred,5,9,BACK,WIN,0,9. Berkinson ,2,,228960941,58176972,7,0,7.58,-2,-2,0
Lachlan Mosley,17/05/2024,Port Augusta,EXPERT TIPS,FALSE,Thoroughbred,6,4,BACK,WIN,0,4. Damaged,2,BEST BET,228960949,28280380,7,0,3.82,-2,-2,-2
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,2,5,LAY,WIN,5,5. Tulle,2,BEST BET,228960347,62294346,10,0,2.69,1.07,1.07,1.07
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,3,3,BACK,WIN,3.8,3. Unique Ambition,1,,228960352,69389969,10,1,3.56,2.3,0,0
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,6,3,BACK,WIN,3,3. Emmadella,2,,228960367,61630855,10,0,4.2,-2,-2,0
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,7,3,BACK,WIN,2.2,3. How Dare You,3,BEST BET,228960372,69390013,10,1,2,2.7,0,2.7
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,3.5,2. Nugget,2,,228960377,6940714,10,0,5.69,-2,-2,0
Mitch Lewis,17/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,9,7,BACK,WIN,5,7. Russley Crown,1,,228960382,69390032,10,0,5.44,-1,-1,0
Ryan Spice,18/05/2024,Albion Park,EXPERT TIPS,FALSE,Harness,1,1,BACK,PLACE,1.8,1. Mossdale Terry,2,,228989307,38335690,7,1,1.21,0.39,0,0
Ryan Spice,18/05/2024,Albion Park,EXPERT TIPS,FALSE,Harness,3,3,BACK,WIN,3,3. Ellis Street,2,,228989312,56577934,7,0,2.74,-2,0,0
Ryan Spice,18/05/2024,Albion Park,EXPERT TIPS,FALSE,Harness,4,10,BACK,WIN,3,10. Its Ebonynivory,3,,228989315,40458593,7,0,2.24,-3,0,0
Ryan Spice,18/05/2024,Albion Park,EXPERT TIPS,FALSE,Harness,7,3,BACK,WIN,2,3. Cool And Classy,2,,228989324,67909036,7,1,1.63,1.17,0,0
Ryan Spice,18/05/2024,Albion Park,EXPERT TIPS,FALSE,Harness,8,4,LAY,WIN,3.8,4. French Fries,2,,228989327,13361707,7,0,8.6,0.24,0,0
