EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2026-08-09 00:00:00.000 Z,Women's AFL/St Kilda (W) v Carlton (W),35909237,MATCH_ODDS,260833743,Match Odds,12443132,Carlton (W),WINNER,1,106,St Kilda (W),v Carlton (W),-26,40,66,1.42,1.47,123.7,1.05,1.05,183.98,,1.01,372.36,1.01,1.25,374,374
2026-08-09 00:00:00.000 Z,Women's AFL/St Kilda (W) v Carlton (W),35909237,MATCH_ODDS,260833743,Match Odds,26814175,St Kilda (W),LOSER,0,106,St Kilda (W),v Carlton (W),-26,40,66,3.15,3.2,201.94,3,,246.15,3,,246.15,4.5,,296.15,296.15
2026-08-13 00:00:00.000 Z,Women's AFL/Hawthorn (W) v Melbourne (W),35926572,MATCH_ODDS,261030756,Match Odds,47691798,Hawthorn (W),LOSER,0,101,Hawthorn (W),v Melbourne (W),-19,41,60,4.3,4.4,2374.63,2.14,,2593.43,2.14,,2625.92,1.12,2.8,2772.27,2985.69
2026-08-13 00:00:00.000 Z,Women's AFL/Hawthorn (W) v Melbourne (W),35926572,MATCH_ODDS,261030756,Match Odds,12443129,Melbourne (W),WINNER,1,101,Hawthorn (W),v Melbourne (W),-19,41,60,1.29,1.3,13735.85,1.01,1.09,14912.68,1.25,1.25,15303.04,1.72,2.14,15718.88,16153.31
2026-08-15 00:00:00.000 Z,Women's AFL/North Melbourne (W) v Geelong (W),35926573,MATCH_ODDS,261031000,Match Odds,22505676,Geelong (W),LOSER,0,127,North Melbourne (W),v Geelong (W),60,93.5,33.5,3.65,10,255.29,1.01,15.5,255.29,1.01,15.5,255.29,2,,255.31,255.31
2026-08-15 00:00:00.000 Z,Women's AFL/North Melbourne (W) v Geelong (W),35926573,MATCH_ODDS,261031000,Match Odds,22505674,North Melbourne (W),WINNER,1,127,North Melbourne (W),v Geelong (W),60,93.5,33.5,1.11,1.23,4263.47,1.11,1.23,4263.47,1.03,1.23,4263.47,,1.01,4294.57,4294.57
2026-08-15 00:00:00.000 Z,Women's AFL/Richmond (W) v Collingwood (W),35926576,MATCH_ODDS,261031244,Match Odds,12443130,Collingwood (W),LOSER,0,74,Richmond (W),v Collingwood (W),18,46,28,2.18,2.6,51.22,1.41,3.85,51.22,1.6,3.85,51.22,2,,51.26,51.26
2026-08-15 00:00:00.000 Z,Women's AFL/Richmond (W) v Collingwood (W),35926576,MATCH_ODDS,261031244,Match Odds,26814173,Richmond (W),WINNER,1,74,Richmond (W),v Collingwood (W),18,46,28,1.62,1.75,1437.25,1.25,2.38,1969.25,1.21,2.38,1969.25,1.05,2.38,1986.37,2138.49
2026-08-15 00:00:00.000 Z,Women's AFL/Gold Coast (W) v Western Bulldogs (W),35926577,MATCH_ODDS,261031488,Match Odds,26814172,Gold Coast (W),LOSER,0,54,Gold Coast (W),v Western Bulldogs (W),-26,14,40,2.5,4.2,190.04,2.2,,205.07,3,,205.07,1.13,,205.07,205.07
2026-08-15 00:00:00.000 Z,Women's AFL/Gold Coast (W) v Western Bulldogs (W),35926577,MATCH_ODDS,261031488,Match Odds,12443127,Western Bulldogs (W),WINNER,1,54,Gold Coast (W),v Western Bulldogs (W),-26,14,40,1.31,1.67,63.99,1.05,1.11,123.14,1.01,1.75,251.47,,1.75,275.44,275.44
2026-08-16 00:00:00.000 Z,Women's AFL/Essendon (W) v Brisbane (W),35926578,MATCH_ODDS,261031732,Match Odds,12551709,Brisbane (W),WINNER,1,122,Essendon (W),v Brisbane (W),-48,37,85,1.05,1.13,478.14,1.05,1.26,478.14,1.01,1.26,860.5,,1.02,1737.62,1737.62
2026-08-16 00:00:00.000 Z,Women's AFL/Essendon (W) v Brisbane (W),35926578,MATCH_ODDS,261031732,Match Odds,47691799,Essendon (W),LOSER,0,122,Essendon (W),v Brisbane (W),-48,37,85,7.8,10.5,67.6,2.1,11.5,67.6,2.12,13.5,148.79,5,,148.81,148.81
2026-08-16 00:00:00.000 Z,Women's AFL/Adelaide (W) v Sydney (W),35926579,MATCH_ODDS,261031976,Match Odds,12443131,Adelaide (W),LOSER,0,114,Adelaide (W),v Sydney (W),-8,53,61,1.62,1.83,1299.87,1.11,2.58,1848.41,1.11,2.58,1848.41,1.11,2.58,1848.41,1848.41
2026-08-16 00:00:00.000 Z,Women's AFL/Adelaide (W) v Sydney (W),35926579,MATCH_ODDS,261031976,Match Odds,47691797,Sydney (W),WINNER,1,114,Adelaide (W),v Sydney (W),-8,53,61,2.46,2.58,1006.42,1.11,4.7,1012.57,1.11,4.7,1012.57,1.11,4.7,1012.57,1012.57
2026-08-16 00:00:00.000 Z,Women's AFL/Fremantle (W) v Port Adelaide (W),35926580,MATCH_ODDS,261032220,Match Odds,12443128,Fremantle (W),LOSER,0,61,Fremantle (W),v Port Adelaide (W),-21,20,41,1.84,1.99,553.29,1.11,2.2,553.29,2,,653.34,2,,653.34,653.34
2026-08-16 00:00:00.000 Z,Women's AFL/Fremantle (W) v Port Adelaide (W),35926580,MATCH_ODDS,261032220,Match Odds,47691800,Port Adelaide (W),WINNER,1,61,Fremantle (W),v Port Adelaide (W),-21,20,41,2.02,3.3,50,1.11,3.3,50,1.11,3.3,50,1.01,1.05,301.11,535.35
2026-08-16 00:00:00.000 Z,Women's AFL/GWS (W) v West Coast (W),35926581,MATCH_ODDS,261032464,Match Odds,12543370,GWS (W),WINNER,1,96,GWS (W),v West Coast (W),12,54,42,2.72,3.05,587.26,1.55,4.5,587.26,1.33,4.5,587.26,1.01,1.15,600.24,652.05
2026-08-16 00:00:00.000 Z,Women's AFL/GWS (W) v West Coast (W),35926581,MATCH_ODDS,261032464,Match Odds,26814174,West Coast (W),LOSER,0,96,GWS (W),v West Coast (W),12,54,42,1.51,1.55,902.8,1.45,2.04,925.75,1.51,2.04,925.75,3,,925.82,925.82
