EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2025-03-07 00:00:00.000 Z,AFL/Sydney v Hawthorn,33776014,MATCH_ODDS,236800648,Match Odds,39979,Hawthorn,WINNER,1,172,Sydney,Hawthorn,-20,76,96,1.89,1.9,98024.36,1.55,1.65,174243.78,1.22,1.27,191242.6,1.59,1.51,235778,278381.83
2025-03-07 00:00:00.000 Z,AFL/Sydney v Hawthorn,33776014,MATCH_ODDS,236800648,Match Odds,39985,Sydney,LOSER,0,172,Sydney,Hawthorn,-20,76,96,2.1,2.12,81087.08,2.42,2.62,95814.57,4.6,6,100035.63,2.5,2.96,105167.67,110121.74
2025-03-09 00:00:00.000 Z,AFL/GWS GIANTS v Collingwood,33776018,MATCH_ODDS,236801584,Match Odds,217709,Collingwood,LOSER,0,156,GWS,Collingwood,52,104,52,1.81,1.85,101093.47,2.6,2.76,124360.52,2.42,2.5,134352.87,8,24,140241.17,140875.8
2025-03-09 00:00:00.000 Z,AFL/GWS GIANTS v Collingwood,33776018,MATCH_ODDS,236801584,Match Odds,5304641,GWS,WINNER,1,156,GWS,Collingwood,52,104,52,2.12,2.18,51394.27,1.55,1.6,68264.9,1.68,1.9,83939,1.06,1.15,112987.94,135537.2
2025-03-13 00:00:00.000 Z,AFL/Richmond v Carlton,33782087,MATCH_ODDS,236802052,Match Odds,39980,Carlton,LOSER,0,151,Richmond,Carlton,13,82,69,1.11,1.12,930448.57,1.02,1.03,1073709.11,1.02,1.04,1114505.78,1.5,1.54,1140084.02,1193249.87
2025-03-13 00:00:00.000 Z,AFL/Richmond v Carlton,33782087,MATCH_ODDS,236802052,Match Odds,39981,Richmond,WINNER,1,151,Richmond,Carlton,13,82,69,9.8,10.5,34139.27,36,38,41253.04,34,65,41534.81,2.78,3.1,43569.81,128023.95
2025-03-14 00:00:00.000 Z,AFL/Hawthorn v Essendon,33782088,MATCH_ODDS,236802520,Match Odds,39977,Essendon,LOSER,0,196,Hawthorn,Essendon,26,111,85,4.3,4.4,34604.53,7.8,29,37365.72,16,40,37695.33,21,100,38484.34,38550.06
2025-03-14 00:00:00.000 Z,AFL/Hawthorn v Essendon,33782088,MATCH_ODDS,236802520,Match Odds,39979,Hawthorn,WINNER,1,196,Hawthorn,Essendon,26,111,85,1.3,1.31,232205.5,1.03,1.08,270204.95,1.02,1.04,277087.6,1.01,1.03,294900.3,311891.46
2025-03-15 00:00:00.000 Z,AFL/Sydney v Brisbane,33782089,MATCH_ODDS,236802988,Match Odds,42153,Brisbane,WINNER,1,168,Sydney,Brisbane,-4,82,86,1.73,1.74,65114.11,2.68,2.9,80266.36,2.5,4.8,86090.19,1.4,1.71,110517.81,128024.53
2025-03-15 00:00:00.000 Z,AFL/Sydney v Brisbane,33782089,MATCH_ODDS,236802988,Match Odds,39985,Sydney,LOSER,0,168,Sydney,Brisbane,-4,82,86,2.34,2.36,23477.25,1.4,1.52,42446.9,1.28,1.66,57189.61,3.5,3.45,78388.27,83083.46
2025-03-15 00:00:00.000 Z,AFL/Geelong v Fremantle,33782090,MATCH_ODDS,236803521,Match Odds,39992,Fremantle,LOSER,0,216,Geelong,Fremantle,78,147,69,3.05,3.15,14172.3,5.2,9.8,15795.97,16,990,16021.12,8.2,11,16321.6,16715.03
2025-03-15 00:00:00.000 Z,AFL/Geelong v Fremantle,33782090,MATCH_ODDS,236803521,Match Odds,39988,Geelong,WINNER,1,216,Geelong,Fremantle,78,147,69,1.46,1.47,56278.47,1.12,1.15,66254.49,,1.01,79898.24,1.08,1.1,92436.98,101868.42
2025-03-15 00:00:00.000 Z,AFL/Western Bulldogs v North Melbourne,33782091,MATCH_ODDS,236803989,Match Odds,3459613,North Melbourne,LOSER,0,210,Western Bulldogs,North Melbourne,16,113,97,3.35,3.4,31808.66,5.9,8,37312.23,4.4,10,38233.08,4.4,15.5,40216.74,41057.36
2025-03-15 00:00:00.000 Z,AFL/Western Bulldogs v North Melbourne,33782091,MATCH_ODDS,236803989,Match Odds,39986,Western Bulldogs,WINNER,1,210,Western Bulldogs,North Melbourne,16,113,97,1.42,1.43,89433.85,1.11,1.2,102932.58,1.22,1.29,109611.29,1.2,1.33,126216.4,145763.03
2025-03-15 00:00:00.000 Z,AFL/Collingwood v Port Adelaide,33782093,MATCH_ODDS,236804925,Match Odds,217709,Collingwood,WINNER,1,181,Collingwood,Port Adelaide,91,136,45,1.6,1.61,84316.5,1.2,1.6,94421.8,1.06,1.13,100715,,1.01,108713.49,108743.27
2025-03-15 00:00:00.000 Z,AFL/Collingwood v Port Adelaide,33782093,MATCH_ODDS,236804925,Match Odds,39978,Port Adelaide,LOSER,0,181,Collingwood,Port Adelaide,91,136,45,2.64,2.66,29483.03,3.2,9,33397.23,10,13,34601.72,1000,,34838.6,34838.6
2025-03-16 00:00:00.000 Z,AFL/Melbourne v GWS,33782092,MATCH_ODDS,236804457,Match Odds,5304641,GWS,WINNER,1,151,Melbourne,GWS,-3,74,77,1.66,1.68,110768.4,1.25,1.47,131470.24,1.35,1.5,139018.09,2.72,4.2,146313.23,158610.42
2025-03-16 00:00:00.000 Z,AFL/Melbourne v GWS,33782092,MATCH_ODDS,236804457,Match Odds,298609,Melbourne,LOSER,0,151,Melbourne,GWS,-3,74,77,2.48,2.5,51653.61,3.1,4,61998.91,3,4,65487.01,1.33,1.7,72838.59,77511.95
2025-03-16 00:00:00.000 Z,AFL/Adelaide v St Kilda,33782094,MATCH_ODDS,236805393,Match Odds,39982,Adelaide,WINNER,1,207,Adelaide,St Kilda,63,135,72,1.33,1.34,134028.87,1.04,1.08,161703.06,1.01,1.02,168240.46,,1.01,176083.68,176083.68
2025-03-16 00:00:00.000 Z,AFL/Adelaide v St Kilda,33782094,MATCH_ODDS,236805393,Match Odds,39990,St Kilda,LOSER,0,207,Adelaide,St Kilda,63,135,72,3.95,4,27655.29,6,15,29104.72,50,300,29392.63,110,,29559.34,29559.34
2025-03-16 00:00:00.000 Z,AFL/West Coast v Gold Coast,33782095,MATCH_ODDS,236805861,Match Odds,4513766,Gold Coast,WINNER,1,185,West Coast,Gold Coast,-87,49,136,1.64,1.65,24648.39,1.22,1.3,65909.57,1.01,1.02,75549.34,,1.01,77919.05,77919.05
2025-03-16 00:00:00.000 Z,AFL/West Coast v Gold Coast,33782095,MATCH_ODDS,236805861,Match Odds,39991,West Coast,LOSER,0,185,West Coast,Gold Coast,-87,49,136,2.54,2.56,18984.09,4.3,4.5,24951.93,28,200,25185.46,200,,25208.44,25208.44
2025-03-20 00:00:00.000 Z,AFL/Carlton v Hawthorn,34110556,MATCH_ODDS,240707516,Match Odds,39980,Carlton,LOSER,0,140,Carlton,Hawthorn,-20,60,80,3.05,3.1,57954.25,2.84,3.3,61525.91,1.98,3.5,74908.5,2.66,3.8,82243.47,87806.72
2025-03-20 00:00:00.000 Z,AFL/Carlton v Hawthorn,34110556,MATCH_ODDS,240707516,Match Odds,39979,Hawthorn,WINNER,1,140,Carlton,Hawthorn,-20,60,80,1.48,1.5,280468.9,1.35,1.45,298135.03,1.62,2,327498.91,1.4,1.6,347153.04,513457.24
2025-03-21 00:00:00.000 Z,AFL/Western Bulldogs v Collingwood,34110555,MATCH_ODDS,240707037,Match Odds,217709,Collingwood,WINNER,1,146,Western Bulldogs,Collingwood,-6,70,76,1.45,1.46,413789.96,1.8,1.9,442594.91,1.8,1.87,454935.59,1.35,1.4,475875.5,502311.55
2025-03-21 00:00:00.000 Z,AFL/Western Bulldogs v Collingwood,34110555,MATCH_ODDS,240707037,Match Odds,39986,Western Bulldogs,LOSER,0,146,Western Bulldogs,Collingwood,-6,70,76,3.15,3.2,72516.95,2.12,2.22,85475.48,1.89,2.22,88452.81,3.2,3.8,90947.35,94077.56
2025-03-22 00:00:00.000 Z,AFL/Port Adelaide v Richmond,34110557,MATCH_ODDS,240707995,Match Odds,39978,Port Adelaide,WINNER,1,208,Port Adelaide,Richmond,72,140,68,1.15,1.17,207047.22,1.01,1.02,223862.03,,1.01,242528.04,,1.01,242528.04,242528.04
2025-03-22 00:00:00.000 Z,AFL/Port Adelaide v Richmond,34110557,MATCH_ODDS,240707995,Match Odds,39981,Richmond,LOSER,0,208,Port Adelaide,Richmond,72,140,68,6.8,7.2,33523.33,21,80,34600.54,7.2,300,34621.49,1000,,34625.02,34626.32
2025-03-22 00:00:00.000 Z,AFL/Essendon v Adelaide,34110558,MATCH_ODDS,240708474,Match Odds,39982,Adelaide,WINNER,1,261,Essendon,Adelaide,-61,100,161,1.52,1.53,140755.47,1.24,1.26,166003.93,1.02,1.04,180451.23,,1.01,193807.31,195498.53
2025-03-22 00:00:00.000 Z,AFL/Essendon v Adelaide,34110558,MATCH_ODDS,240708474,Match Odds,39977,Essendon,LOSER,0,261,Essendon,Adelaide,-61,100,161,2.84,2.9,43290.28,4.1,5.5,47203.04,27,36,47872.15,110,,48077.3,48078.51
2025-03-22 00:00:00.000 Z,AFL/St Kilda v Geelong,34110559,MATCH_ODDS,240708953,Match Odds,39988,Geelong,LOSER,0,189,St Kilda,Geelong,7,98,91,1.34,1.35,286558.95,2.82,2.82,309949.19,4,4.5,317935.68,5,7.4,325553.51,331645.92
2025-03-22 00:00:00.000 Z,AFL/St Kilda v Geelong,34110559,MATCH_ODDS,240708953,Match Odds,39990,St Kilda,WINNER,1,189,St Kilda,Geelong,7,98,91,3.85,3.9,55615.95,1.54,1.52,65321.46,1.22,1.32,132088.8,1.19,1.19,221324,259668.99
2025-03-23 00:00:00.000 Z,AFL/Brisbane v West Coast,34110560,MATCH_ODDS,240709432,Match Odds,42153,Brisbane,WINNER,1,169,Brisbane,West Coast,19,94,75,1.05,1.06,379784.66,1.32,1.36,396085.82,1.52,1.66,408385.62,1.1,1.39,450469.96,473214.36
2025-03-23 00:00:00.000 Z,AFL/Brisbane v West Coast,34110560,MATCH_ODDS,240709432,Match Odds,39991,West Coast,LOSER,0,169,Brisbane,West Coast,19,94,75,16.5,18,10905.92,3.6,4.2,12838.6,2.42,2.5,15460.9,5.9,26,20250.38,20601.99
2025-03-23 00:00:00.000 Z,AFL/North Melbourne v Melbourne,34110561,MATCH_ODDS,240709918,Match Odds,298609,Melbourne,LOSER,0,191,North Melbourne,Melbourne,59,125,66,1.47,1.48,58961.34,1.47,2.96,62660.96,2.04,2.3,69940.02,3.7,6.6,74591.11,75164.13
2025-03-23 00:00:00.000 Z,AFL/North Melbourne v Melbourne,34110561,MATCH_ODDS,240709918,Match Odds,3459613,North Melbourne,WINNER,1,191,North Melbourne,Melbourne,59,125,66,3.1,3.15,15339.04,2.28,3,16594.32,1.75,2,19943.49,1.19,1.19,29732.8,43017.72
2025-03-23 00:00:00.000 Z,AFL/Fremantle v Sydney,34110562,MATCH_ODDS,240710397,Match Odds,39992,Fremantle,LOSER,0,133,Fremantle,Sydney,-3,65,68,1.72,1.73,66480.7,1.17,1.35,76884.65,1.48,1.45,81717.88,1.65,1.99,93718.8,106219.95
2025-03-23 00:00:00.000 Z,AFL/Fremantle v Sydney,34110562,MATCH_ODDS,240710397,Match Odds,39985,Sydney,WINNER,1,133,Fremantle,Sydney,-3,65,68,2.34,2.38,45478.11,4,6.8,49627.94,2.68,3.2,52204.04,2.02,3,61565.04,88849.9
2025-03-27 00:00:00.000 Z,AFL/Essendon v Port Adelaide,34131990,MATCH_ODDS,241195792,Match Odds,39977,Essendon,WINNER,1,132,Essendon,Port Adelaide,12,72,60,2.4,2.42,50165.67,2.04,3,61273.64,2.24,2.4,64500.32,2.4,3.45,70554.07,114890.07
2025-03-27 00:00:00.000 Z,AFL/Essendon v Port Adelaide,34131990,MATCH_ODDS,241195792,Match Odds,39978,Port Adelaide,LOSER,0,132,Essendon,Port Adelaide,12,72,60,1.7,1.71,138276.32,1.57,1.75,159694.69,1.71,1.75,173942.98,1.5,1.58,191545.49,201686
2025-03-28 00:00:00.000 Z,AFL/Carlton v Western Bulldogs,34131989,MATCH_ODDS,241195313,Match Odds,39980,Carlton,LOSER,0,158,Carlton,Western Bulldogs,-8,75,83,2.04,2.06,101070.36,1.34,1.48,113911.09,1.3,1.38,141631.02,1.92,1.98,172954.41,188903.65
2025-03-28 00:00:00.000 Z,AFL/Carlton v Western Bulldogs,34131989,MATCH_ODDS,241195313,Match Odds,39986,Western Bulldogs,WINNER,1,158,Carlton,Western Bulldogs,-8,75,83,1.95,1.96,191868.51,3.7,4,204706.39,2.66,4.1,214766.83,2.02,2.04,220096.9,258073.69
2025-03-29 00:00:00.000 Z,AFL/Melbourne v Gold Coast SUNS,34131991,MATCH_ODDS,241196271,Match Odds,4513766,Gold Coast,WINNER,1,182,Melbourne,Gold Coast,-58,62,120,1.84,1.86,93462.99,1.31,1.4,108562.47,1.26,1.28,112714.48,1.02,1.06,128025.41,136217.31
2025-03-29 00:00:00.000 Z,AFL/Melbourne v Gold Coast SUNS,34131991,MATCH_ODDS,241196271,Match Odds,298609,Melbourne,LOSER,0,182,Melbourne,Gold Coast,-58,62,120,2.16,2.18,97948.26,3.5,3.6,107747.79,4,5,109162.98,2,,110097.43,110145.5
2025-03-29 00:00:00.000 Z,AFL/St Kilda v Richmond,34131992,MATCH_ODDS,241196750,Match Odds,39981,Richmond,LOSER,0,188,St Kilda,Richmond,82,135,53,4.5,4.6,26960.88,5.4,8,28535.29,3.65,4.9,29322.18,130,,29703.05,29725.69
2025-03-29 00:00:00.000 Z,AFL/St Kilda v Richmond,34131992,MATCH_ODDS,241196750,Match Odds,39990,St Kilda,WINNER,1,188,St Kilda,Richmond,82,135,53,1.28,1.3,153128.64,1.15,1.2,162094.79,1.2,1.34,166143.55,,1.01,185116.04,186357.14
2025-03-29 00:00:00.000 Z,AFL/Hawthorn v GWS GIANTS,34131993,MATCH_ODDS,241197229,Match Odds,5304641,GWS,LOSER,0,140,Hawthorn,GWS,12,76,64,2.58,2.6,50415.28,1.37,1.53,60805.43,2.46,2.8,77110.66,9,,85310.69,86042.93
2025-03-29 00:00:00.000 Z,AFL/Hawthorn v GWS GIANTS,34131993,MATCH_ODDS,241197229,Match Odds,39979,Hawthorn,WINNER,1,140,Hawthorn,GWS,12,76,64,1.62,1.63,117414.18,2.52,3,134217.99,1.56,1.55,146580.18,1.06,1.12,169917.77,191751.98
2025-03-29 00:00:00.000 Z,AFL/Brisbane Lions v Geelong Cats,34131995,MATCH_ODDS,241198187,Match Odds,42153,Brisbane,WINNER,1,131,Brisbane Lions,Geelong Cats,,,,1.49,1.5,119177.12,1.79,1.86,137157.05,3.8,7,141734.14,1.64,1.58,160482.29,194334.55
2025-03-29 00:00:00.000 Z,AFL/Brisbane Lions v Geelong Cats,34131995,MATCH_ODDS,241198187,Match Odds,39988,Geelong,LOSER,0,131,Brisbane Lions,Geelong Cats,,,,3,3.05,26961.68,2.1,2.26,42829.84,1.25,1.45,49389.21,2.58,2.72,61207.76,64520.98
2025-03-30 00:00:00.000 Z,AFL/Adelaide Crows v North Melbourne,34131994,MATCH_ODDS,241197708,Match Odds,39982,Adelaide,WINNER,1,192,Adelaide Crows,North Melbourne,,,,1.12,1.13,210724.62,1.04,1.09,231779.64,1.03,1.07,238420.33,1.04,1.05,246249.29,253209.57
2025-03-30 00:00:00.000 Z,AFL/Adelaide Crows v North Melbourne,34131994,MATCH_ODDS,241197708,Match Odds,3459613,North Melbourne,LOSER,0,192,Adelaide Crows,North Melbourne,,,,8.6,8.8,14587.07,7,27,16140.63,7,34,16354.49,11.5,36,17049.51,17073.51
2025-03-30 00:00:00.000 Z,AFL/West Coast Eagles v Fremantle,34131996,MATCH_ODDS,241198666,Match Odds,39992,Fremantle,WINNER,1,174,West Coast Eagles,Fremantle,,,,1.33,1.36,168990.85,1.12,1.16,194738.77,1.05,1.08,213271.3,,1.01,236276.38,237006.8
2025-03-30 00:00:00.000 Z,AFL/West Coast Eagles v Fremantle,34131996,MATCH_ODDS,241198666,Match Odds,39991,West Coast,LOSER,0,174,West Coast Eagles,Fremantle,,,,3.85,3.9,61850.71,5.1,6.6,69771.52,10.5,17,71317.52,120,,71395.78,71397.83
2025-04-03 00:00:00.000 Z,AFL/Collingwood v Carlton,34153722,MATCH_ODDS,241612072,Match Odds,39980,Carlton,LOSER,0,109,Collingwood,Carlton,17,63,46,3.05,3.1,51272.69,2.8,3.8,54620.45,2.5,2.64,57869.44,24,990,62631.21,62736.57
2025-04-03 00:00:00.000 Z,AFL/Collingwood v Carlton,34153722,MATCH_ODDS,241612072,Match Odds,217709,Collingwood,WINNER,1,109,Collingwood,Carlton,17,63,46,1.48,1.48,206472.55,1.47,1.48,225695.5,1.59,1.67,231814.76,1.03,1.05,274027.97,289652.3
2025-04-04 00:00:00.000 Z,AFL/Geelong v Melbourne,34153721,MATCH_ODDS,241611594,Match Odds,39988,Geelong,WINNER,1,131,Geelong,Melbourne,39,85,46,1.25,1.26,328318.02,1.19,1.19,360054.36,1.12,1.2,411012.55,1.11,1.25,433316.91,446147.35
2025-04-04 00:00:00.000 Z,AFL/Geelong v Melbourne,34153721,MATCH_ODDS,241611594,Match Odds,298609,Melbourne,LOSER,0,131,Geelong,Melbourne,39,85,46,4.8,4.9,35590.35,6,6.2,43775.1,5.5,9.2,46137.84,6.8,11,51308.77,52036.88
2025-04-05 00:00:00.000 Z,AFL/Gold Coast v Adelaide,34153723,MATCH_ODDS,241612550,Match Odds,39982,Adelaide,LOSER,0,181,Gold Coast,Adelaide,1,91,90,2.18,2.2,56907.22,2.28,3.45,59782.7,2.04,2.36,63462.66,2.5,2.96,64578.76,65180.9
2025-04-05 00:00:00.000 Z,AFL/Gold Coast v Adelaide,34153723,MATCH_ODDS,241612550,Match Odds,4513766,Gold Coast,WINNER,1,181,Gold Coast,Adelaide,1,91,90,1.83,1.84,51866.65,1.6,1.89,60725.5,1.75,1.98,63106.19,1.51,1.66,71894.84,81872.2
2025-04-05 00:00:00.000 Z,AFL/North Melbourne v Sydney,34153724,MATCH_ODDS,241613028,Match Odds,3459613,North Melbourne,LOSER,0,169,North Melbourne,Sydney,-65,52,117,2.24,2.28,80846.09,3.7,5.4,87215.45,4.4,7.8,88153.76,260,,89103.24,89105.95
2025-04-05 00:00:00.000 Z,AFL/North Melbourne v Sydney,34153724,MATCH_ODDS,241613028,Match Odds,39985,Sydney,WINNER,1,169,North Melbourne,Sydney,-65,52,117,1.78,1.79,112446.16,1.22,1.14,127737.4,1.18,1.2,135135.66,,1.01,160699.82,160746.65
2025-04-05 00:00:00.000 Z,AFL/Richmond v Brisbane,34153725,MATCH_ODDS,241613506,Match Odds,42153,Brisbane,WINNER,1,208,Richmond,Brisbane,-28,90,118,1.1,1.11,168586.81,1.03,1.04,178710.86,1.01,1.02,185085.35,,1.01,197996.47,198154.71
2025-04-05 00:00:00.000 Z,AFL/Richmond v Brisbane,34153725,MATCH_ODDS,241613506,Match Odds,39981,Richmond,LOSER,0,208,Richmond,Brisbane,-28,90,118,10,11,18318.79,13.5,1000,18747.94,24,330,18815.26,500,,18999.11,19017.41
2025-04-06 00:00:00.000 Z,AFL/Port Adelaide v St Kilda,34153726,MATCH_ODDS,241613984,Match Odds,39978,Port Adelaide,LOSER,0,161,Port Adelaide,St Kilda,-17,72,89,1.53,1.54,66363.2,2.88,3,75209.6,1.83,4,79098.98,2.2,4.7,81524.84,83473.01
2025-04-06 00:00:00.000 Z,AFL/Port Adelaide v St Kilda,34153726,MATCH_ODDS,241613984,Match Odds,39990,St Kilda,WINNER,1,161,Port Adelaide,St Kilda,-17,72,89,2.84,2.86,25850.5,1.41,1.9,34423.89,1.26,1.45,41244.91,1.3,1.36,57936.51,80511.55
2025-04-06 00:00:00.000 Z,AFL/GWS v West Coast,34153727,MATCH_ODDS,241614462,Match Odds,5304641,GWS,WINNER,1,183,GWS,West Coast,81,132,51,1.05,1.06,319088.06,,1.01,333224.2,,1.01,333975.25,,1.01,333977.37,333977.37
2025-04-06 00:00:00.000 Z,AFL/GWS v West Coast,34153727,MATCH_ODDS,241614462,Match Odds,39991,West Coast,LOSER,0,183,GWS,West Coast,81,132,51,20,22,16519.54,48,1000,16859.17,1000,,16865.14,250,,16865.14,16865.14
2025-04-06 00:00:00.000 Z,AFL/Fremantle v Western Bulldogs,34153728,MATCH_ODDS,241614940,Match Odds,39992,Fremantle,WINNER,1,178,Fremantle,Western Bulldogs,16,97,81,1.66,1.68,73323.03,1.6,1.6,80190.35,1.05,1.09,92828.66,1.04,1.05,115652.7,157743
2025-04-06 00:00:00.000 Z,AFL/Fremantle v Western Bulldogs,34153728,MATCH_ODDS,241614940,Match Odds,39986,Western Bulldogs,LOSER,0,178,Fremantle,Western Bulldogs,16,97,81,2.46,2.5,25153.78,2.28,2.68,28855.38,9.2,12,31051.11,6.2,36,31489.68,32207.6
2025-04-10 00:00:00.000 Z,AFL/Adelaide Crows v Geelong Cats,34175987,MATCH_ODDS,241722401,Match Odds,39982,Adelaide,LOSER,0,219,Adelaide Crows,Geelong Cats,,,,1.52,1.53,235892.29,1.35,1.41,250074.11,1.3,1.3,276982.23,1.37,1.48,311903.09,317027.84
2025-04-10 00:00:00.000 Z,AFL/Adelaide Crows v Geelong Cats,34175987,MATCH_ODDS,241722401,Match Odds,39988,Geelong,WINNER,1,219,Adelaide Crows,Geelong Cats,,,,2.88,2.9,72084.13,3.1,3.4,73540.91,4.2,4.3,74820.31,3.1,3.7,84291.15,122275.22
2025-04-11 00:00:00.000 Z,AFL/Collingwood v Sydney,34175988,MATCH_ODDS,241722879,Match Odds,217709,Collingwood,WINNER,1,187,Collingwood,Sydney,31,109,78,1.71,1.72,187289.56,1.65,1.72,217930.57,1.11,1.22,253398,1.09,1.13,293482.82,312273.66
2025-04-11 00:00:00.000 Z,AFL/Collingwood v Sydney,34175988,MATCH_ODDS,241722879,Match Odds,39985,Sydney,LOSER,0,187,Collingwood,Sydney,31,109,78,2.38,2.4,71947.88,2.36,2.48,88122.91,3.45,7.6,93651.9,8.6,13,98223.15,98383.96
2025-04-12 00:00:00.000 Z,AFL/North Melbourne v Gold Coast,34175989,MATCH_ODDS,241723357,Match Odds,4513766,Gold Coast,WINNER,1,230,North Melbourne,Gold Coast,-52,89,141,1.26,1.27,70636.4,1.15,1.19,81601.8,1.31,1.6,88386.33,1.05,1.14,91067.89,100886.07
2025-04-12 00:00:00.000 Z,AFL/North Melbourne v Gold Coast,34175989,MATCH_ODDS,241723357,Match Odds,3459613,North Melbourne,LOSER,0,230,North Melbourne,Gold Coast,-52,89,141,4.7,4.8,19553.55,5.2,10,20843.99,3.45,,21373.16,8,,22123.92,22156.44
2025-04-12 00:00:00.000 Z,AFL/Carlton v West Coast,34175990,MATCH_ODDS,241723835,Match Odds,39980,Carlton,WINNER,1,171,Carlton,West Coast,71,121,50,1.17,1.19,126155.88,1.14,1.3,145486.14,1.06,1.07,149636.16,,1.01,165391.25,166520.8
2025-04-12 00:00:00.000 Z,AFL/Carlton v West Coast,34175990,MATCH_ODDS,241723835,Match Odds,39991,West Coast,LOSER,0,171,Carlton,West Coast,71,121,50,6.4,6.6,31361.85,6.8,10,33855.02,15,20,34001.54,1000,,34293.03,34299
2025-04-12 00:00:00.000 Z,AFL/Western Bulldogs v Brisbane,34175991,MATCH_ODDS,241724313,Match Odds,42153,Brisbane,WINNER,1,215,Western Bulldogs,Brisbane,-21,97,118,1.54,1.55,112072.46,1.41,1.42,139391.85,5.3,5.9,150357.67,1.62,2.06,159683.19,205998.19
2025-04-12 00:00:00.000 Z,AFL/Western Bulldogs v Brisbane,34175991,MATCH_ODDS,241724313,Match Odds,39986,Western Bulldogs,LOSER,0,215,Western Bulldogs,Brisbane,-21,97,118,2.8,2.82,45901.06,2.78,7,53943.15,1.2,1.21,82554.11,2,2.1,107469.79,112337.74
2025-04-12 00:00:00.000 Z,AFL/Melbourne v Essendon,34175993,MATCH_ODDS,241725269,Match Odds,39977,Essendon,WINNER,1,153,Melbourne,Essendon,-39,57,96,2.02,2.06,59245.79,1.5,1.5,74460.02,1.11,1.12,92860.39,1.25,1.3,120057.94,162891.54
2025-04-12 00:00:00.000 Z,AFL/Melbourne v Essendon,34175993,MATCH_ODDS,241725269,Match Odds,298609,Melbourne,LOSER,0,153,Melbourne,Essendon,-39,57,96,1.95,1.98,133426.87,2.82,3,143819.58,7.2,10,146829.56,2.98,22,149384.79,149859.68
2025-04-13 00:00:00.000 Z,AFL/Richmond v Fremantle,34175992,MATCH_ODDS,241724791,Match Odds,39992,Fremantle,WINNER,1,155,Richmond,Fremantle,-61,47,108,1.12,1.13,130251.75,1.06,1.1,159207.42,1.1,1.11,166039.04,,1.03,178215.57,178215.57
2025-04-13 00:00:00.000 Z,AFL/Richmond v Fremantle,34175992,MATCH_ODDS,241724791,Match Odds,39981,Richmond,LOSER,0,155,Richmond,Fremantle,-61,47,108,8.8,9.2,10673.08,5.6,18,12867.94,6.8,24,13313.44,10,,13731.27,13739.6
2025-04-13 00:00:00.000 Z,AFL/Port Adelaide v Hawthorn,34175994,MATCH_ODDS,241725747,Match Odds,39979,Hawthorn,LOSER,0,212,Port Adelaide,Hawthorn,30,121,91,1.49,1.5,216583.61,3.25,3.3,245687.38,4.8,36,250912.59,55,,252339.22,252729.61
2025-04-13 00:00:00.000 Z,AFL/Port Adelaide v Hawthorn,34175994,MATCH_ODDS,241725747,Match Odds,39978,Port Adelaide,WINNER,1,212,Port Adelaide,Hawthorn,30,121,91,3,3.05,67196.17,1.42,1.41,101860.99,1.02,1.03,265120.15,,1.01,331471.6,387382.92
2025-04-13 00:00:00.000 Z,AFL/St Kilda v GWS,34175995,MATCH_ODDS,241726225,Match Odds,5304641,GWS,WINNER,1,192,St Kilda,GWS,-28,82,110,1.55,1.56,69424.73,1.41,1.63,83812.6,1.16,1.22,88254.99,,1.01,131090.56,131326.66
2025-04-13 00:00:00.000 Z,AFL/St Kilda v GWS,34175995,MATCH_ODDS,241726225,Match Odds,39990,St Kilda,LOSER,0,192,St Kilda,GWS,-28,82,110,2.74,2.8,26236.57,2.7,4,30693.76,5.6,6.2,31593.52,120,990,32301.32,32352.48
2025-04-17 00:00:00.000 Z,AFL/Brisbane Lions v Collingwood,34200693,MATCH_ODDS,242072936,Match Odds,42153,Brisbane,LOSER,0,158,Brisbane Lions,Collingwood,,,,1.58,1.59,187650.33,1.87,1.89,242967.52,2.62,2.88,255694.93,65,90,264192.14,264277.93
2025-04-17 00:00:00.000 Z,AFL/Brisbane Lions v Collingwood,34200693,MATCH_ODDS,242072936,Match Odds,217709,Collingwood,WINNER,1,158,Brisbane Lions,Collingwood,,,,2.68,2.7,40471.05,1.97,2.24,58784.83,1.55,1.55,76897.17,1.01,1.03,149790.2,160987.52
2025-04-18 00:00:00.000 Z,AFL/North Melbourne v Carlton,34200694,MATCH_ODDS,242073414,Match Odds,39980,Carlton,WINNER,1,224,North Melbourne,Carlton,-82,71,153,1.44,1.45,142692.39,1.07,1.07,177431.95,1.08,1.09,360905.45,,1.01,391297.19,391497.19
